observable,branch,U_over_D,T_over_D,Nk_lo,Nk_hi,value_Nk16,value_Nk64,abs_diff,rel_uncertainty,gate_tol,gate_pass
Z_pole,metal-up,2.0,0.001,16,64,0.28568757676859524,0.2934967701118728,0.007809193343277565,0.027334731988023938,0.001,0
D_occ,metal-up,2.0,0.001,16,64,0.07613434735445704,0.07712686873028632,0.0009925213758292806,0.013036446890500292,0.001,0
Omega_over_D,metal-up,2.0,0.001,16,64,-1.0815983390602835,-1.082173926657772,0.0005755875974884361,0.0005321639066018901,0.001,1
Z_pole,metal-up,2.5,0.001,16,64,0.0942651236876164,0.09911178466987314,0.004846660982256737,0.05141520843189051,0.001,0
D_occ,metal-up,2.5,0.001,16,64,0.03752151373727936,0.03831080176195398,0.0007892880246746156,0.021035612534214508,0.001,0
Omega_over_D,metal-up,2.5,0.001,16,64,-1.3032542229152284,-1.3033817201008109,0.00012749718558247025,9.782986568597019e-05,0.001,1
Z_pole,metal-up,3.0,0.001,16,64,0.012628862373101558,0.0001962295887032629,0.012432632784398295,0.9844618158860282,0.001,0
D_occ,metal-up,3.0,0.001,16,64,0.014042218095474542,0.014278859318508719,0.00023664122303417717,0.01685212559904911,0.001,0
Omega_over_D,metal-up,3.0,0.001,16,64,-1.5414789597412533,-1.5428079193480126,0.0013289596067593834,0.0008621328227421653,0.001,1
Z_pole,metal-down,0.5,0.001,16,64,0.9222599646185003,0.9263550749515482,0.00409511033304788,0.004440299362600927,0.001,0
D_occ,metal-down,0.5,0.001,16,64,0.2040063583958892,0.20469340708963304,0.0006870486937438358,0.0033677807846095057,0.001,0
Omega_over_D,metal-down,0.5,0.001,16,64,-0.5394141518431699,-0.5415149142858802,0.002100762442710291,0.0038945260066537337,0.001,0
Z_pole,metal-down,1.0,0.001,16,64,0.732056154757865,0.7414775665689263,0.009421411811061264,0.012869793867353648,0.001,0
D_occ,metal-down,1.0,0.001,16,64,0.15936240166036422,0.16040996812758088,0.001047566467216654,0.006573485692373317,0.001,0
Omega_over_D,metal-down,1.0,0.001,16,64,-0.6986474503811309,-0.7002989232437642,0.0016514728626333408,0.0023638143411708126,0.001,0
Z_pole,insul-down,0.5,0.001,16,64,1.6207636310681771e-12,1.6207636321690517e-12,1.100874603576686e-21,6.792320499264571e-10,0.001,1
D_occ,insul-down,0.5,0.001,16,64,0.10743796072931727,0.10743796072931687,4.0245584642661925e-16,3.745937131481672e-15,0.001,1
Omega_over_D,insul-down,0.5,0.001,16,64,-0.43388269512923117,-0.433882695135166,5.934808200436237e-12,1.367837036844386e-11,0.001,1
Z_pole,insul-down,1.0,0.001,16,64,6.042909091831849e-12,6.045738282384933e-12,2.829190553083488e-15,0.00046818353711587055,0.001,1
D_occ,insul-down,1.0,0.001,16,64,0.17227207620382357,0.17229292471598237,2.0848512158805343e-05,0.00012102084457459283,0.001,1
Omega_over_D,insul-down,1.0,0.001,16,64,-0.6402327128024705,-0.6402344385190109,1.7257165403350427e-06,2.695451990856759e-06,0.001,1
Z_pole,insul-down,2.0,0.001,16,64,3.1994737389585834e-13,3.1994765183794056e-13,2.779420822240493e-19,2.779420822240493e-07,0.001,1
D_occ,insul-down,2.0,0.001,16,64,0.033072001881347554,0.033072021544098246,1.966275069154033e-08,5.945437098753319e-07,0.001,1
Omega_over_D,insul-down,2.0,0.001,16,64,-1.0644906811905877,-1.0644906884830636,7.292475956433009e-09,6.850671485706839e-09,0.001,1
Z_pole,insul-down,2.5,0.001,16,64,1.870777539917128e-13,1.8707688974231985e-13,8.6424939295635e-19,8.6424939295635e-07,0.001,1
D_occ,insul-down,2.5,0.001,16,64,0.02076066232569741,0.020760641298933274,2.1026764135401166e-08,1.0128175973159766e-06,0.001,1
Omega_over_D,insul-down,2.5,0.001,16,64,-1.3014056444595958,-1.301405580699626,6.375996974838927e-08,4.899315599239265e-08,0.001,1
Z_pole,insul-down,3.0,0.001,16,64,1.240014968497872e-13,1.2400150892630886e-13,1.2076521651347605e-20,1.2076521651347606e-08,0.001,1
D_occ,insul-down,3.0,0.001,16,64,0.014271320568859764,0.014271320299986422,2.688733419936584e-10,1.884011649071524e-08,0.001,1
Omega_over_D,insul-down,3.0,0.001,16,64,-1.5428040857448284,-1.5428040858070933,6.226485993465758e-11,4.035824153563712e-11,0.001,1
E_kin_over_D_U0_anchor,U=0_noninteracting,0.0,0.0,16,continuum,-0.402721,-0.4052847345693511,0.002563734569351106,0.006325761497223152,0.001,0
