# Two small runs transcribed from the 2026-07-22 session (dmft worktree,
# frozen producers; commands in the session log, reproducible verbatim).
# Block A - kind=mg3box240: M_g=3 bare insulator-down descent with the
# satellite boxes lifted to 240 (V1) / 240 (eps), chained from the stored
# U=1.6 fill root. Columns: U, eps_g, V1_over_eps, W, twoW2, resnorm.
# Block B - kind=channel: the split-duty bath (physical pair boxed to
# eps1 in [U/4,U] + far pair PINNED at eps_R=200 with free coupling =
# an omega-linear channel with c=(V2/200)^2). Columns: U, eps1(->eps_g),
# c (->V1_over_eps), W=(from 2W^2), twoW2, resnorm.
kind,U,eps_g,v1_over_eps,W,twoW2,resnorm
mg3box240,1.600,13.99,0.2683,0.46638,0.43501,1.58e-05
mg3box240,1.500,14.29,0.2923,0.42235,0.35675,1.71e-05
mg3box240,1.400,16.27,0.3215,0.37654,0.28357,1.50e-05
mg3box240,1.300,15.45,0.3646,0.32582,0.21232,1.92e-05
mg3box240,1.200,17.51,0.4284,0.26785,0.14349,1.74e-05
mg3box240,1.150,17.29,0.4856,0.22996,0.10576,1.94e-05
mg3box240,1.125,18.45,0.5344,0.20388,0.08314,1.80e-05
mg3box240,1.100,36.51,0.6091,0.17125,0.05865,2.95e-05
mg3box240,1.050,85.12,0.6234,0.16549,0.05477,8.36e-05
mg3box240,1.000,121.05,0.6338,0.16184,0.05238,1.09e-04
mg3box240,0.975,134.76,0.6327,0.16216,0.05259,1.21e-04
mg3box240,0.950,184.53,0.6457,0.15790,0.04987,1.04e-04
mg3box240,0.925,185.31,0.6505,0.15641,0.04893,1.19e-04
mg3box240,0.900,192.46,0.6564,0.15461,0.04781,1.29e-04
mg3box240,0.875,195.03,0.6588,0.15387,0.04735,1.43e-04
mg3box240,0.850,198.99,0.6818,0.14718,0.04332,1.51e-04
channel,3.00,2.452,0.0112,,2.0288,1.91e-05
channel,2.50,2.473,0.0189,,1.3560,7.85e-06
channel,2.00,1.971,0.0337,,0.7979,7.49e-06
channel,1.50,1.492,0.0775,,0.3652,6.12e-07
channel,1.25,1.077,0.1395,,0.1888,4.83e-06
